[212, 116]
[212, 116]
[195, 125]
[195, 125]
[212, 118]
[212, 118]
[212, 116]
[212, 114]
[212, 114]
[213, 114]
[213, 114]
[213, 114]
[212, 115]
[212, 115]
[212, 116]
[212, 116]
[213, 114]
[213, 114]
[213, 114]
[213, 114]
[212, 115]
[212, 115]
[272, 116]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[273, 115]
[273, 115]
[273, 117]
[273, 116]
[273, 116]
[273, 114]
[273, 114]
[273, 113]
[273, 113]
[212, 116]
[212, 117]
[212, 117]
[212, 115]
[212, 115]
[212, 116]
[212, 116]
[212, 118]
[212, 118]
[212, 118]
[212, 118]
[212, 118]
[212, 118]
[212, 118]
[212, 114]
[212, 114]
[212, 118]
[212, 118]
[213, 113]
[183, 130]
[183, 130]
[213, 113]
[213, 113]
[273, 118]
[273, 118]
[273, 117]
[273, 117]
[273, 117]
[273, 118]
[273, 117]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 116]
[212, 116]
[212, 116]
[212, 117]
[212, 117]
[212, 116]
[212, 116]
[273, 118]
[273, 118]
[212, 115]
[212, 117]
[212, 117]
[212, 116]
[212, 116]
[213, 114]
[213, 114]
[212, 115]
[212, 114]
[212, 114]
[273, 117]
[273, 117]
[212, 114]
[212, 114]
[212, 116]
[212, 116]
[272, 116]
[272, 116]
[272, 116]
[272, 116]
[272, 116]
[213, 114]
[213, 114]
[212, 118]
[212, 118]
[213, 116]
[213, 114]
[213, 114]
[213, 117]
[213, 117]
[195, 128]
[195, 128]
[212, 118]
[212, 118]
[212, 118]
[212, 119]
[212, 119]
[212, 119]
[212, 119]
[273, 116]
[273, 116]
[273, 116]
[273, 116]
[273, 116]
[273, 116]
[273, 116]
[212, 120]
[212, 120]
[212, 118]
[212, 118]
[212, 118]
[212, 118]
[212, 118]
[212, 118]
[212, 118]
[212, 117]
[212, 117]
[212, 116]
[212, 116]
[212, 116]
[273, 118]
[273, 118]
[212, 117]
[212, 117]
[273, 118]
[212, 116]
[212, 116]
[213, 114]
[213, 114]
[212, 115]
[212, 115]
[212, 118]
[212, 118]
[212, 116]
[212, 116]
[212, 119]
[212, 117]
[212, 117]
[212, 117]
[212, 117]
[212, 117]
[212, 117]
[212, 119]
[212, 116]
[212, 116]
[212, 117]
[212, 117]
[212, 117]
[212, 117]
[212, 117]
[273, 115]
[273, 115]
[212, 118]
[212, 118]
[212, 118]
[212, 118]
[212, 119]
[212, 119]
[273, 118]
[273, 118]
[273, 117]
[273, 115]
[273, 115]
[212, 117]
[212, 117]
[184, 133]
[184, 133]
[212, 116]
[272, 116]
[272, 116]
[273, 117]
[273, 117]
[273, 116]
[272, 116]
[272, 116]
[212, 117]
[212, 117]
[212, 118]
[212, 118]
[212, 116]
[212, 116]
[272, 116]
[272, 116]
[272, 116]
[212, 116]
[272, 117]
[272, 118]
[272, 118]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[195, 126]
[195, 126]
[212, 116]
[212, 116]
[212, 116]
[212, 117]
[212, 117]
[212, 116]
[212, 116]
[212, 117]
[212, 117]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[212, 117]
[212, 117]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[273, 116]
[273, 117]
[273, 117]
[273, 116]
[273, 116]
[273, 116]
[273, 116]
[212, 118]
[212, 115]
[212, 115]
[212, 118]
[212, 118]
[212, 115]
[212, 115]
[212, 117]
[212, 117]
[212, 115]
[212, 115]
[212, 114]
[212, 115]
[212, 115]
[212, 115]
[212, 115]
[212, 116]
[212, 115]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[212, 117]
[212, 117]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[212, 116]
[212, 117]
[212, 117]
[212, 117]
[212, 117]
[212, 115]
[212, 115]
[212, 115]
[212, 118]
[212, 118]
[212, 117]
[212, 117]
[212, 117]
[212, 117]
